MthCalDt,AMD,AVGO,MU,NVDA,TSM,VOO
2023-03-31,0.247264,0.087305,0.043584,0.196665,0.073705,0.037073
2023-04-28,-0.088154,-0.023444,0.068717,-0.001008,-0.093743,0.015901
2023-05-31,0.322703,0.289641,0.059664,0.363437,0.169514,0.004816
2023-06-30,-0.036376,0.079431,-0.074633,0.118214,0.027989,0.065083
2023-07-31,0.004302,0.035991,0.133344,0.104652,-0.017539,0.032901
2023-08-31,-0.075874,0.026974,-0.020311,0.056196,-0.056278,-0.016283
2023-09-29,-0.027431,-0.095038,-0.027309,-0.118576,-0.0665,-0.047462
2023-10-31,-0.042015,0.012991,-0.015436,-0.062507,-0.006789,-0.021721
2023-11-30,0.230051,0.100265,0.138328,0.146886,0.127448,0.091704
2023-12-29,0.216656,0.21136,0.122635,0.058932,0.073695,0.045849
2024-01-31,0.137575,0.057111,0.004804,0.242418,0.086154,0.016071
2024-02-29,0.14813,0.10211,0.056676,0.285809,0.139076,0.052071
2024-03-28,-0.062536,0.023355,0.30234,0.142181,0.06164,0.032805
2024-04-30,-0.1225,-0.018968,-0.041819,-0.04376,0.009482,-0.040087
2024-05-31,0.053795,0.021749,0.106586,0.268871,0.099752,0.050257
2024-06-28,-0.028101,0.212468,0.05224,0.126944,0.154377,0.035685
2024-07-31,-0.109303,0.000791,-0.164323,-0.052776,-0.046085,0.011597
2024-08-30,0.028239,0.013318,-0.123657,0.020082,0.035585,0.023936
2024-09-30,0.10447,0.062806,0.077618,0.017426,0.015167,0.021766
2024-10-31,-0.121953,-0.015826,-0.038074,0.093215,0.097138,-0.009476
2024-11-29,-0.047859,-0.045297,-0.01706,0.041353,-0.03086,0.05889
2024-12-31,-0.119446,0.434037,-0.139628,-0.028577,0.072918,-0.023359
2025-01-31,-0.04007,-0.045592,0.084125,-0.10589,0.059902,0.026948
2025-02-28,-0.138767,-0.098703,0.026195,0.040393,-0.137541,-0.012651
2025-03-31,0.02884,-0.157858,-0.070757,-0.13233,-0.076886,-0.056071
2025-04-30,-0.052463,0.149555,-0.114398,0.004982,0.004157,-0.008114
2025-05-30,0.137442,0.257702,0.22755,0.240635,0.159758,0.062816
2025-06-30,0.281496,0.141408,0.304785,0.169252,0.17567,0.051711
2025-07-31,0.242495,0.065482,-0.113634,0.125831,0.066802,0.022869
2025-08-29,-0.077591,0.012564,0.090434,-0.020745,-0.044491,0.020757
2025-09-30,-0.005165,0.111283,0.405932,0.071251,0.213523,0.035487
2025-10-31,0.58304,0.120396,0.338196,0.085272,0.075692,0.023939
2025-11-28,-0.150672,0.090171,0.056799,-0.125883,-0.029691,0.002185
2025-12-31,-0.015492,-0.139471,0.207381,0.05373,0.045195,0.00077
